Trade Number,Direction,Signal Time,Entry Time,Entry,Stop,Target,Exit Time,Exit Price,Result,R,Duration Hours
1,SHORT,2026-03-16T19:00:00.000Z,2026-03-16T20:00:00.000Z,24658.35,24803.72,24367.61,2026-03-17T13:00:00.000Z,24803.72,LOSS,-1,17
2,SHORT,2026-03-17T23:00:00.000Z,2026-03-18T00:00:00.000Z,24794.8,24814.92,24754.56,2026-03-18T00:00:00.000Z,24814.92,LOSS,-1,0
3,LONG,2026-03-19T13:00:00.000Z,2026-03-19T14:00:00.000Z,24296.83,24127.58,24635.33,2026-03-20T10:00:00.000Z,24127.58,LOSS,-1,20
4,LONG,2026-03-23T18:00:00.000Z,2026-03-23T19:00:00.000Z,24304.5,24207.37,24498.76,2026-03-23T19:00:00.000Z,24207.37,LOSS,-1,0
5,LONG,2026-03-24T09:00:00.000Z,2026-03-24T10:00:00.000Z,24219.97,24103.97,24451.97,2026-03-24T11:00:00.000Z,24103.97,LOSS,-1,1
6,LONG,2026-03-24T14:00:00.000Z,2026-03-24T15:00:00.000Z,24043.5,23976.25,24178,2026-03-24T15:00:00.000Z,24178,WIN,2,0
7,LONG,2026-03-25T09:00:00.000Z,2026-03-25T10:00:00.000Z,24263.04,24221.54,24346.04,2026-03-25T12:00:00.000Z,24221.54,LOSS,-1,2
8,LONG,2026-03-25T17:00:00.000Z,2026-03-25T18:00:00.000Z,24235.31,24187.31,24331.31,2026-03-25T18:00:00.000Z,24187.31,LOSS,-1,0
9,LONG,2026-03-25T19:00:00.000Z,2026-03-25T20:00:00.000Z,24182.44,24121.94,24303.44,2026-03-25T23:00:00.000Z,24121.94,LOSS,-1,3
10,LONG,2026-03-26T12:00:00.000Z,2026-03-26T13:00:00.000Z,23937.04,23893.54,24024.04,2026-03-26T13:00:00.000Z,23893.54,LOSS,-1,0
11,LONG,2026-03-30T19:00:00.000Z,2026-03-30T20:00:00.000Z,22974.85,22863.47,23197.61,2026-03-31T00:00:00.000Z,22863.47,LOSS,-1,4
